name,cost,projPts
Austin Seferian-Jenkins,12,7.9762
Charles Clay,15,8.9655
Dwayne Allen,15,8.5348
Greg Olsen,21,11.1275
Heath Miller,19,9.4911
Jared Cook,18,8.1404
Jason Witten,21,12.0035
Jimmy Graham,22,11.8882
Jordan Cameron,15,11.5022
Jordan Reed,14,8.7238
Kyle Rudolph,14,9.6315
Ladarius Green,12,7.81
Larry Donnell,14,9.3478
Martellus Bennett,21,10.6122
Rob Gronkowski,36,12.7226
Tyler Eifert,17,12.4645
Zach Ertz,18,9.4223
A.J. Green,29,13.4723
Allen Robinson,23,8.7618
Alshon Jeffery,27,9.8539
Amari Cooper,24,12.2968
Andre Johnson,27,11.8082
Anquan Boldin,22,11.8618
Antonio Brown,40,16.7362
Brandin Cooks,24,13.8341
Brandon Coleman,17,7.4512
Brandon Marshall,24,13.1738
Calvin Johnson,30,13.7573
Charles Johnson,19,8.2945
Cole Beasley,16,8.835
Danny Amendola,19,6.2774
Davante Adams,25,10.7617
DeAndre Hopkins,26,14.0743
Donte Moncrief,13,7.576
Doug Baldwin,19,7.8762
Eddie Royal,17,8.9809
Eric Decker,26,8.9539
Golden Tate,24,11.9625
James Jones,19,9.1282
Jarvis Landry,24,12.6843
John Brown,19,11.2602
Jordan Matthews,27,13.7176
Julian Edelman,29,12.9231
Julio Jones,37,15.4444
Keenan Allen,29,13.3845
Kendall Wright,21,9.6205
Kenny Britt,17,7.9078
Larry Fitzgerald,18,12.9134
Malcom Floyd,18,7.8272
Markus Wheaton,17,8.9147
Marques Colston,19,9.4074
Michael Crabtree,15,8.7203
Michael Floyd,20,8.8609
Mike Evans,29,11.2053
Mike Wallace,21,13.0629
Nate Washington,17,7.2118
Nelson Agholor,24,7.4291
Odell Beckham,42,16.174
Percy Harvin,16,7.8321
Pierre Garcon,21,8.8563
Randall Cobb,29,14.2011
Roddy White,23,11.7863
Rueben Randle,24,7.5685
Sammy Watkins,22,8.6921
Steve Johnson,15,9.1883
Steve Smith,22,11.6981
Tavon Austin,15,7.1547
Terrance Williams,21,13.6832
Torrey Smith,24,9.1647
Vincent Jackson,21,11.5706
Adrian Peterson,36,15.8437
Alfred Blue,16,11.0714
Alfred Morris,26,13.2044
Ameer Abdullah,22,13.6371
Bishop Sankey,16,9.687
C.J. Spiller,16,9.9779
Carlos Hyde,23,14.0064
Chris Ivory,24,13.3483
Chris Johnson,10,10.2322
Danny Woodhead,16,11.0895
Darren Sproles,13,7.5692
David Johnson,10,8.8358
DeAngelo Williams,26,12.3652
DeMarco Murray,33,16.604
Doug Martin,19,12.7635
Eddie Lacy,33,15.1677
Frank Gore,25,12.6929
Giovani Bernard,23,9.0412
Isaiah Crowell,18,10.2974
Jeremy Hill,34,15.3139
Joique Bell,22,8.4285
Jonathan Stewart,24,12.2688
Joseph Randle,23,11.2118
Justin Forsett,30,14.1105
Lamar Miller,31,13.8244
Latavius Murray,21,12.7214
LeGarrette Blount,24,11.3852
LeSean McCoy,24,13.227
Mark Ingram,26,14.3801
Marshawn Lynch,33,16.1225
Matt Forte,36,16.733
Melvin Gordon,20,11.5628
Rashad Jennings,20,12.1669
Ryan Mathews,17,9.5828
Shane Vereen,15,7.7696
T.J. Yeldon,20,10.6663
Tevin Coleman,17,12.0113
Tre Mason,22,11.829
