name,cost,projPts
Aaron Rodgers,42,20.555
Andrew Luck,42,23.9883
Andy Dalton,31,17.9616
Ben Roethlisberger,43,19.5577
Blake Bortles,23,16.5012
Cam Newton,34,19.7308
Carson Palmer,34,19.9088
Colin Kaepernick,32,19.481
Derek Carr,27,15.6032
Drew Brees,43,22.1851
Eli Manning,43,19.4407
Jameis Winston,33,16.8394
Jay Cutler,34,18.5962
Joe Flacco,38,18.3122
Johnny Manziel,22,16.3422
Kirk Cousins,28,15.0812
Marcus Mariota,36,18.6582
Matt Ryan,42,20.3492
Matthew Stafford,37,18.9711
Nick Foles,29,19.1271
Philip Rivers,32,18.1916
Russell Wilson,42,20.2323
Ryan Fitzpatrick,35,17.7138
Ryan Mallett,22,14.5342
Ryan Tannehill,39,19.9068
Sam Bradford,42,19.0343
Teddy Bridgewater,33,17.8684
Tom Brady,45,18.1145
Tony Romo,43,19.7817
Tyrod Taylor,27,16.5666
