name,cost,projPts
A.J. Green,29,13.4723
Allen Robinson,23,8.7618
Alshon Jeffery,27,9.8539
Amari Cooper,24,12.2968
Andre Johnson,27,11.8082
Anquan Boldin,22,11.8618
Antonio Brown,40,16.7362
Brandin Cooks,24,13.8341
Brandon Coleman,17,7.4512
Brandon Marshall,24,13.1738
Calvin Johnson,30,13.7573
Charles Johnson,19,8.2945
Cole Beasley,16,8.835
Danny Amendola,19,6.2774
Davante Adams,25,10.7617
DeAndre Hopkins,26,14.0743
Donte Moncrief,13,7.576
Doug Baldwin,19,7.8762
Eddie Royal,17,8.9809
Eric Decker,26,8.9539
Golden Tate,24,11.9625
James Jones,19,9.1282
Jarvis Landry,24,12.6843
John Brown,19,11.2602
Jordan Matthews,27,13.7176
Julian Edelman,29,12.9231
Julio Jones,37,15.4444
Keenan Allen,29,13.3845
Kendall Wright,21,9.6205
Kenny Britt,17,7.9078
Larry Fitzgerald,18,12.9134
Malcom Floyd,18,7.8272
Markus Wheaton,17,8.9147
Marques Colston,19,9.4074
Michael Crabtree,15,8.7203
Michael Floyd,20,8.8609
Mike Evans,29,11.2053
Mike Wallace,21,13.0629
Nate Washington,17,7.2118
Nelson Agholor,24,7.4291
Odell Beckham,42,16.174
Percy Harvin,16,7.8321
Pierre Garcon,21,8.8563
Randall Cobb,29,14.2011
Roddy White,23,11.7863
Rueben Randle,24,7.5685
Sammy Watkins,22,8.6921
Steve Johnson,15,9.1883
Steve Smith,22,11.6981
Tavon Austin,15,7.1547
Terrance Williams,21,13.6832
Torrey Smith,24,9.1647
Vincent Jackson,21,11.5706
